Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 4029.03.05.02.1.23|31,60|21,20|6,70|41,54|26,80
с-|33,00|6,06|2,00|11,87|8,00
с-|31,80|4,56|1,45|8,93|5,80
Кукуруза. 70%,сухая, мелк.|87,54|4,57|4,00|8,95|16,00
Шрот соевый. 52%, ЭНАПКХ|89,75|3,34|3,00|6,55|12,00
к-ж5701.05.07.1.23 Бушовка|44,60|5,16|2,30|10,10|9,20
Пшеница. 55%, сухая.средн.|87,49|1,14|1,00|2,24|4,00
Жом свекловичный сухой.|91,45|1,09|1,00|2,14|4,00
Патока свекловичная, сахар|79,50|1,01|0,80|1,97|3,20
Жир защищеный. 99%,|99,50|0,35|0,35|0,69|1,40
Мел. ЭНАПКХ|99,20|0,25|0,25|0,49|1,00
Сода. ЭНАПКХ|95,60|0,21|0,20|0,41|0,80
Премикс дойный Б. 07.23|99,00|0,17|0,17|0,34|0,68
Соль. ЭНАПКХ|99,85|0,13|0,13|0,26|0,52
Поташ. ЭНАПКХ|98,50|0,10|0,10|0,20|0,40
Шрот рапсовый. 38%,|91,80|1,69|1,55|3,31|6,20
