Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/ Т онна
с-с  23.06.2025\4030.01.05.02.1.24 Прудки|31,400|11,146|3,500|23,60|13,83|2 826
с-с 23.06.2025\5901.01.05.02.1.24.Аристово|33,900|10,029|3,400|21,24|13,44|3 051
с-ж 8.05.25\5313.03.01.01.3.24 Поливаново|37,700|5,040|1,900|10,67|7,51|5 278
с-ж|46,600|2,253|1,050|4,77|4,15|6 524
Дробленая солома КН Восток|88,405|0,339|0,300|0,72|1,19|5 000
к-ж 8.05.25\5204.01.05.07.1.24 Болдасовка|61,000|4,918|3,000|10,41|11,86|6 710
Шрот соевый. 49%, ЭНАПКХ|89,750|3,343|3,000|7,08|11,86|47 400
Жмых рапсовый. 39%, ЭНАПКХ|95,000|2,000|1,900|4,24|7,51|35 020
Ячмень. сухой 53%, средний помол,|89,000|1,798|1,600|3,81|6,32|9 500
Патока свекловичная, сахар 55%,|79,500|0,755|0,600|1,60|2,37|4 360
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|0,508|0,465|1,08|1,84|11 730
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,302|0,300|0,64|1,19|173 620
КК №10|89,444|4,791|4,285|10,15|16,94|19 151
