Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/килограмм
5701.02.05.02.1.24/20.05.25|34,200|22,105|7,560|41,04|28,00|3 078
5701.01.01.01.1.25/18.06.25|31,200|6,162|1,922|11,44|7,12|4 000
5001.02.16.01.1.23/18.06.25|20,500|5,268|1,080|9,78|4,00|4 000
Шрот соевый. 49%, ЭНАПКХ|89,750|3,971|3,564|7,37|13,20|46 000
5701.01.05.07.1.24/18.04.25|57,400|5,268|3,024|9,78|11,20|7 360
Шрот Рапсовый|89,000|1,723|1,534|3,20|5,68|22 000
Ячмень.60%, сухой, средний|89,000|1,820|1,620|3,38|6,00|17 000
Жом свекловичный сухой.|91,450|1,004|0,918|1,86|3,40|10 000
Патока свекловичная, сахар|79,500|1,087|0,864|2,02|3,20|3 870
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,380|0,378|0,71|1,40|196 000
КК 10 Аристово 11.03.25|89,444|5,071|4,536|9,42|16,80|19 430
Общие значения||53,860|27,000|||Стоимость ₽ 591
