Ингредиент|СВ %|ГП кг|СВ кг|% ГП|% СВ
солома ячменная|91,900|0,544|0,500|1,16|2,00
2531.01.01.01.2.24 / 09.01.25|37,600|9,574|3,600|20,41|14,40
2531.04.05.02.1.24 / 09.01.25|32,200|20,807|6,700|44,35|26,80
Кукуруза. 70%,сухая средн.|87,540|5,141|4,500|10,96|18,00
Комбикорм №11 ЭНАС|92,249|3,360|3,100|7,16|12,40
Шрот соевый. 49%, ЭНАПКХ|89,750|3,120|2,800|6,65|11,20
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,089|1,000|2,32|4,00
Жом свекловичный сухой.|91,450|1,093|1,000|2,33|4,00
Соевая оболочка ЭНАПКХ|90,200|0,554|0,500|1,18|2,00
Патока свекловичная, сах.49%, ЭНАПКХ v|79,500|1,635|1,300|3,49|5,20
